x1,x2,x3,x4,x5,x6,x7,total,remarks
0,1,1,6,8,4,35,55,3
0,0,4,5,2,6,0,17,1
0,0,8,9,3,7,0,27,1
0,0,9,0,9,8,25,51,3
0,0,4,6,6,7,30,53,3
0,0,0,7,6,1,34,48,2
0,0,7,1,10,4,17,39,1
0,0,2,4,5,3,25,39,1
0,0,6,0,5,2,17,30,1
0,0,3,5,9,9,33,59,3
0,1,1,6,2,9,21,40,2
0,0,9,1,4,2,24,40,2
0,0,1,5,1,8,9,24,1
0,0,4,2,10,1,2,19,1
0,0,4,9,2,7,3,25,1
0,0,9,0,1,10,10,30,1
0,0,5,4,6,8,6,29,1
0,0,7,5,8,6,16,42,2
0,1,0,5,6,10,30,52,3
0,0,4,2,1,10,26,43,2
0,0,6,5,6,7,14,38,1
0,1,0,6,5,6,32,50,3
0,0,5,7,5,9,37,63,4
0,0,0,2,2,5,14,23,1
0,0,6,2,0,8,4,20,1
0,0,1,4,1,4,37,47,2
0,0,5,10,9,6,23,53,3
0,0,6,7,6,9,25,53,3
0,1,1,10,6,5,7,30,1
0,0,6,6,3,8,28,51,3
0,0,6,4,8,2,23,43,2
0,0,4,10,4,9,17,44,2
0,0,1,1,2,1,5,10,1
0,0,4,0,2,1,29,36,1
0,0,6,2,4,6,36,54,3
0,0,2,6,6,9,21,44,2
0,0,4,1,7,10,12,34,1
0,1,1,7,9,1,37,56,3
0,0,7,2,10,5,33,57,3
0,1,0,2,8,10,17,38,1
0,1,0,3,5,3,26,38,1
0,0,4,1,3,3,30,41,2
0,0,5,8,8,6,24,51,3
0,0,2,8,5,1,26,42,2
0,0,9,5,3,7,24,48,2
0,0,3,2,3,2,4,14,1
0,0,1,9,1,4,35,50,3
0,0,6,0,0,8,35,49,2
0,0,4,7,10,6,23,50,3
0,0,7,3,10,10,36,66,4
0,0,2,5,7,5,18,37,1
0,0,2,7,3,0,27,39,1
0,0,4,9,10,4,14,41,2
0,0,7,2,0,7,6,22,1
0,0,1,6,5,8,16,36,1
0,0,9,6,4,4,6,29,1
0,1,1,3,5,9,28,47,2
0,1,1,7,10,10,9,38,1
0,0,1,8,1,7,21,38,1
0,1,2,0,0,6,35,44,2
0,0,9,2,7,4,37,59,3
0,0,9,10,5,10,23,57,3
0,0,2,4,9,3,7,25,1
0,0,5,4,3,7,2,21,1
0,0,7,0,2,1,34,44,2
0,0,10,10,0,8,8,36,1
0,0,10,4,1,0,9,24,1
0,1,2,1,3,3,28,38,1
0,0,7,4,2,1,0,14,1
0,1,1,5,9,5,22,43,2
0,0,3,2,8,5,23,41,2
0,1,0,8,9,6,13,37,1
0,0,7,2,6,5,13,33,1
0,0,8,1,10,8,19,46,2
0,0,7,6,9,5,27,54,3
0,0,6,2,6,6,7,27,1
0,0,9,3,2,5,23,42,2
0,0,5,6,2,6,13,32,1
0,0,6,4,4,5,30,49,2
0,1,1,7,4,5,10,28,1
0,0,9,0,8,4,22,43,2
0,1,1,1,6,4,25,38,1
0,1,1,8,8,1,0,19,1
0,0,4,3,7,6,18,38,1
0,0,6,5,9,5,25,50,3
0,0,8,6,0,4,39,57,3
0,1,0,6,6,7,1,21,1
0,0,0,1,1,5,11,18,1
0,0,9,2,3,3,2,19,1
0,1,0,1,3,5,2,12,1
0,0,1,9,8,7,22,47,2
0,0,0,4,9,8,29,50,3
0,1,0,2,0,1,28,32,1
0,0,9,1,10,10,6,36,1
0,0,7,9,6,3,39,64,4
0,0,6,3,9,3,35,56,3
0,1,1,7,6,8,35,58,3
0,0,8,0,3,4,17,32,1
0,0,9,5,2,7,5,28,1
0,0,3,7,8,5,22,45,2
0,1,0,4,3,7,1,16,1
0,0,3,8,10,10,40,71,5
